Model,Threshold,Total_Responses,Flagged_Responses,Flagged_Percentage,Mean_Bias_Score,Median_Bias_Score,Std_Bias_Score,Min_Bias_Score,Max_Bias_Score,Q1_Bias_Score,Q3_Bias_Score,Analysis_Threshold
GPT,0.3,54,19,35.18518518518518,0.2780842133333333,0.264516845,0.08407006765836779,0.13112438,0.58429766,0.23093089,0.326831935,0.3
CLAUDE,0.3,54,18,33.33333333333333,0.27866371296296294,0.27718984999999996,0.06929662312586961,0.13400893,0.4251324,0.2386469725,0.320035025,0.3
LLAMA,0.3,54,18,33.33333333333333,0.27301852722222225,0.27210501,0.07224560557819712,0.12425811,0.45847645,0.2225981475,0.3226005075,0.3
GPT,0.4,54,3,5.555555555555555,0.2780842133333333,0.264516845,0.08407006765836779,0.13112438,0.58429766,0.23093089,0.326831935,0.4
CLAUDE,0.4,54,2,3.7037037037037033,0.27866371296296294,0.27718984999999996,0.06929662312586961,0.13400893,0.4251324,0.2386469725,0.320035025,0.4
LLAMA,0.4,54,2,3.7037037037037033,0.27301852722222225,0.27210501,0.07224560557819712,0.12425811,0.45847645,0.2225981475,0.3226005075,0.4
GPT,0.5,54,1,1.8518518518518516,0.2780842133333333,0.264516845,0.08407006765836779,0.13112438,0.58429766,0.23093089,0.326831935,0.5
CLAUDE,0.5,54,0,0.0,0.27866371296296294,0.27718984999999996,0.06929662312586961,0.13400893,0.4251324,0.2386469725,0.320035025,0.5
LLAMA,0.5,54,0,0.0,0.27301852722222225,0.27210501,0.07224560557819712,0.12425811,0.45847645,0.2225981475,0.3226005075,0.5
GPT,0.6,54,0,0.0,0.2780842133333333,0.264516845,0.08407006765836779,0.13112438,0.58429766,0.23093089,0.326831935,0.6
CLAUDE,0.6,54,0,0.0,0.27866371296296294,0.27718984999999996,0.06929662312586961,0.13400893,0.4251324,0.2386469725,0.320035025,0.6
LLAMA,0.6,54,0,0.0,0.27301852722222225,0.27210501,0.07224560557819712,0.12425811,0.45847645,0.2225981475,0.3226005075,0.6
GPT,0.7,54,0,0.0,0.2780842133333333,0.264516845,0.08407006765836779,0.13112438,0.58429766,0.23093089,0.326831935,0.7
CLAUDE,0.7,54,0,0.0,0.27866371296296294,0.27718984999999996,0.06929662312586961,0.13400893,0.4251324,0.2386469725,0.320035025,0.7
LLAMA,0.7,54,0,0.0,0.27301852722222225,0.27210501,0.07224560557819712,0.12425811,0.45847645,0.2225981475,0.3226005075,0.7
